,Node1,Node2,Betweenness_Centrality,Weighted_Betweenness_Centrality
0,Angers,AngersH,0.07142857142857142,0.9500000000000004
1,Angers,LeMans,0.25396825396825395,5.999999999999989
2,Angers,Nantes,0.13756613756613756,3.1999999999999966
3,Avignon,Lyon,0.38888888888888884,9.100000000000003
4,Avignon,Marseille,0.13756613756613756,3.1999999999999966
5,Avignon,Nimes,0.25396825396825395,5.999999999999989
6,Bordeaux,BordeauxH,0.07142857142857142,0.9500000000000004
7,Bordeaux,Paris,0.13756613756613756,3.199999999999997
8,Dijon,DijonH,0.07142857142857142,0.9500000000000004
9,Dijon,Lyon,0.45238095238095233,11.000000000000034
10,Dijon,Paris,0.4365079365079365,11.45000000000004
11,Dijon,Strasbourg,0.0582010582010582,1.0500000000000003
12,LeMans,Paris,0.38888888888888884,9.100000000000005
13,LeMans,Rennes,0.13756613756613756,3.1999999999999966
14,Lille,LilleH,0.07142857142857142,0.9500000000000004
15,Lille,Paris,0.13756613756613756,3.199999999999997
16,Lyon,LyonH,0.07142857142857142,0.9500000000000004
17,Marseille,MarseilleH,0.07142857142857142,0.9500000000000004
18,Montpellier,MontpellierH,0.07142857142857142,0.9500000000000004
19,Montpellier,Nimes,0.13756613756613756,3.1999999999999966
20,Nantes,NantesH,0.07142857142857142,0.9500000000000004
21,Nimes,NimesH,0.07142857142857142,0.9500000000000004
22,Paris,ParisH,0.07142857142857142,0.6
23,Paris,Reims,0.19576719576719576,4.949999999999993
24,Reims,ReimsH,0.07142857142857142,0.9500000000000004
25,Reims,Strasbourg,0.07936507936507936,2.1500000000000004
26,Rennes,RennesH,0.07142857142857142,0.9500000000000004
27,Strasbourg,StrasbourgH,0.07142857142857142,0.9500000000000004
